Galaxy,Filter,z,t_L (Gyr),λ rf (μm),μ (deg),Δμ (deg),l_ψ (deg),l_ψ err,Luminosity fraction,w (kpc),w err,r_end (kpc),r_end err,h_s (kpc),h_s err,W_i,S,S err
EGS31281,F200W,1.554,9.39,0.779,21.1,-52.2,193.1,1.5,0.109,1.357,0.032,7.516,0.0,7.676,0.431,1.0,0.0,0.0
EGS31281,F200W,1.554,9.39,0.779,12.4,28.6,264.6,4.3,0.102,1.303,0.059,11.327,0.953,3.717,0.369,0.37,0.28,0.06
EGS31281,F277W,1.554,9.39,1.091,11.6,-58.7,120.4,5.3,0.024,1.947,0.051,7.103,0.144,6.53,0.56,1.0,0.0,0.0
EGS31281,F277W,1.554,9.39,1.091,34.9,0.0,68.0,1.3,0.029,2.263,0.0,9.163,0.136,1.812,0.087,1.0,0.0,0.0
EGS31281,F277W,1.554,9.39,1.091,20.0,-42.6,192.7,1.4,0.103,2.167,0.046,7.494,0.0,4.29,0.155,1.0,0.0,0.0
EGS31281,F277W,1.554,9.39,1.091,13.5,9.2,249.5,4.8,0.097,1.229,0.098,8.849,0.496,1.62,0.063,0.37,0.47,0.13
EGS31281,F356W,1.554,9.39,1.395,16.6,-58.3,104.8,2.6,0.017,1.626,0.057,7.755,0.132,4.775,0.279,1.0,0.0,0.0
EGS31281,F356W,1.554,9.39,1.395,32.5,0.0,67.2,1.4,0.023,2.21,0.0,9.447,0.0,1.325,0.063,1.0,0.0,0.0
EGS31281,F356W,1.554,9.39,1.395,23.7,-54.6,197.4,2.5,0.074,2.354,0.062,7.473,0.0,10.734,1.267,1.0,0.0,0.0
EGS31281,F356W,1.554,9.39,1.395,14.3,-36.1,243.9,3.4,0.069,1.44,0.047,5.969,0.163,1.773,0.051,0.37,0.5,0.0
EGS31281,F410M,1.554,9.39,1.602,12.9,-61.9,120.0,8.8,0.016,1.411,0.077,7.071,0.199,4.949,0.416,1.0,0.0,0.0
EGS31281,F410M,1.554,9.39,1.602,32.7,-0.0,67.2,1.5,0.025,2.212,0.0,8.917,0.128,1.844,0.118,1.0,0.0,0.0
EGS31281,F410M,1.554,9.39,1.602,18.7,-35.7,188.7,2.2,0.084,2.014,0.055,7.468,0.0,2.193,0.065,1.0,0.0,0.0
EGS31281,F410M,1.554,9.39,1.602,14.0,1.8,250.2,5.8,0.082,1.068,0.018,8.499,0.64,1.604,0.064,0.37,0.5,0.0
EGS31281,F444W,1.554,9.39,1.731,-1.4,-51.3,101.4,4.5,0.016,2.488,0.0,6.409,0.262,5.861,4.436,1.0,0.0,0.0
EGS31281,F444W,1.554,9.39,1.731,31.2,0.0,64.7,1.3,0.029,2.13,0.0,8.628,0.101,1.93,0.121,1.0,0.0,0.0
EGS31281,F444W,1.554,9.39,1.731,17.4,-40.1,254.9,0.7,0.102,2.375,0.0,7.454,0.0,1.548,0.034,1.0,0.0,0.0
EGS31281,F444W,1.554,9.39,1.731,16.2,10.7,332.7,6.3,0.11,1.072,0.041,11.87,0.0,1.336,0.045,0.37,0.5,0.0
EGS14565,F115W,1.661,9.63,0.434,9.7,42.3,126.1,3.1,0.047,2.116,0.073,9.935,0.137,36.202,34.655,1.47,0.5,0.0
EGS14565,F115W,1.661,9.63,0.434,19.9,-39.8,230.9,2.1,0.23,2.185,0.041,7.784,0.0,10.914,1.69,0.55,0.02,0.03
EGS14565,F115W,1.661,9.63,0.434,18.0,-15.0,377.7,5.3,0.306,2.822,0.069,14.586,0.393,13.939,0.774,1.99,0.21,0.04
EGS14565,F150W,1.661,9.63,0.564,14.0,48.9,100.0,2.0,0.021,0.592,0.084,9.969,0.183,8.665,2.441,14.31,0.13,0.16
EGS14565,F150W,1.661,9.63,0.564,17.2,-11.8,213.8,2.0,0.169,1.73,0.03,7.92,0.0,7.225,0.987,0.55,-0.07,0.07
EGS14565,F150W,1.661,9.63,0.564,14.5,-19.5,361.4,1.0,0.204,2.403,0.038,9.819,0.218,10.45,0.491,2.69,0.5,0.0
EGS14565,F200W,1.661,9.63,0.748,20.0,41.3,128.5,1.9,0.042,2.397,0.054,9.999,0.087,11.56,2.113,0.37,0.5,0.0
EGS14565,F200W,1.661,9.63,0.748,22.2,-44.6,231.0,4.0,0.128,1.913,0.036,7.727,0.0,25.139,13.206,0.45,-0.26,0.08
EGS14565,F200W,1.661,9.63,0.748,16.4,2.9,308.0,2.2,0.169,2.301,0.034,14.791,0.0,4.386,0.144,2.42,0.25,0.04
EGS14565,F277W,1.661,9.63,1.047,25.0,37.1,151.6,1.2,0.058,3.189,0.0,12.583,0.16,3.513,0.106,1.89,0.24,0.04
EGS14565,F277W,1.661,9.63,1.047,24.1,-48.1,238.7,3.0,0.127,2.266,0.035,7.959,0.0,10.064,1.37,0.37,-0.04,0.06
EGS14565,F277W,1.661,9.63,1.047,14.8,8.4,365.0,0.7,0.201,2.835,0.032,13.48,0.185,8.227,0.2,2.39,-0.08,0.02
EGS14565,F410M,1.661,9.63,1.538,8.2,-0.0,137.0,1.6,0.028,1.563,0.153,9.876,0.105,1.612,0.121,1.22,-0.5,0.0
EGS14565,F410M,1.661,9.63,1.538,22.3,-25.2,201.5,3.6,0.13,1.662,0.04,7.918,0.0,2.646,0.242,0.43,0.12,0.11
EGS14565,F410M,1.661,9.63,1.538,15.2,1.9,322.1,2.2,0.151,2.555,0.038,13.839,0.301,5.244,0.152,1.38,-0.02,0.04
EGS14565,F444W,1.661,9.63,1.661,12.8,38.0,144.9,0.8,0.026,0.851,0.128,12.489,0.168,3.472,0.385,1.22,-0.5,0.0
EGS14565,F444W,1.661,9.63,1.661,17.0,-31.3,190.7,1.9,0.124,2.025,0.026,7.815,0.0,5.177,0.686,0.52,-0.32,0.1
EGS14565,F444W,1.661,9.63,1.661,16.0,11.4,321.9,1.8,0.157,2.534,0.036,14.984,0.0,4.565,0.1,2.0,0.03,0.03
EGS25604,F115W,1.664,9.63,0.433,3.8,4.4,315.1,0.7,0.253,1.136,0.024,5.705,0.0,11.738,0.88,2.51,0.13,0.02
EGS25604,F150W,1.664,9.63,0.563,4.1,4.8,314.4,0.6,0.219,1.656,0.02,5.721,0.0,30.334,0.0,2.16,0.15,0.01
EGS25604,F200W,1.664,9.63,0.747,4.0,5.4,317.0,0.7,0.2,1.812,0.016,5.741,0.0,30.362,0.0,2.08,0.18,0.01
EGS25604,F277W,1.664,9.63,1.046,7.6,-13.9,350.1,2.7,0.225,2.189,0.026,5.877,0.0,27.423,0.0,1.92,0.23,0.01
EGS25604,F356W,1.664,9.63,1.338,9.4,-24.5,371.8,1.5,0.263,2.406,0.021,5.835,0.0,26.022,0.0,1.8,0.27,0.01
EGS25604,F410M,1.664,9.63,1.536,2.9,-23.9,368.3,5.2,0.191,2.356,0.023,5.763,0.0,23.972,5.921,1.41,-0.5,0.0
EGS25604,F444W,1.664,9.63,1.66,3.7,-28.6,373.8,7.7,0.186,2.205,0.027,5.784,0.0,23.431,5.899,1.3,-0.46,0.01
JADES188429,F200W,1.69,9.69,0.74,9.9,-64.9,203.8,0.3,0.166,2.187,0.068,4.738,0.121,2.103,0.021,0.39,-0.45,0.04
JADES188429,F200W,1.69,9.69,0.74,9.7,-41.8,204.7,2.4,0.135,1.83,0.043,4.959,0.107,4.523,0.241,1.57,0.22,0.04
JADES188429,F210M,1.69,9.69,0.778,10.1,-65.0,209.9,2.5,0.19,2.329,0.151,4.731,0.217,2.028,0.033,0.47,-0.47,0.06
JADES188429,F210M,1.69,9.69,0.778,11.4,-52.8,204.6,3.0,0.159,1.961,0.103,5.147,0.238,4.983,0.374,1.96,-0.12,0.1
JADES188429,F277W,1.69,9.69,1.036,17.8,-69.3,234.1,1.4,0.141,2.554,0.0,4.653,0.0,1.956,0.027,0.37,0.06,0.04
JADES188429,F277W,1.69,9.69,1.036,9.5,-42.0,216.1,1.8,0.107,2.123,0.056,5.183,0.212,2.832,0.127,0.76,0.08,0.14
JADES188429,F335M,1.69,9.69,1.251,12.5,-60.0,250.2,1.9,0.133,2.458,0.0,4.374,0.0,1.366,0.019,0.73,-0.2,0.04
JADES188429,F335M,1.69,9.69,1.251,14.9,-50.9,204.6,1.6,0.082,1.561,0.045,4.789,0.159,3.419,0.167,2.09,0.31,0.07
JADES188429,F356W,1.69,9.69,1.324,18.1,-68.0,235.6,1.4,0.131,2.463,0.0,4.568,0.0,1.542,0.024,0.37,-0.02,0.04
JADES188429,F356W,1.69,9.69,1.324,15.4,-47.6,213.5,1.7,0.094,1.838,0.044,5.413,0.208,2.857,0.096,1.24,0.49,0.04
JADES188429,F410M,1.69,9.69,1.521,16.9,-67.0,232.7,2.2,0.115,2.422,0.0,4.486,0.0,1.558,0.033,0.4,-0.17,0.09
JADES188429,F410M,1.69,9.69,1.521,14.3,-40.9,202.8,0.7,0.083,1.891,0.051,5.71,0.242,3.34,0.143,1.52,0.37,0.05
JADES188429,F444W,1.69,9.69,1.644,13.9,-60.9,245.0,2.8,0.122,2.437,0.0,4.46,0.0,1.291,0.026,0.96,-0.2,0.07
JADES188429,F444W,1.69,9.69,1.644,14.1,-53.7,206.9,1.6,0.084,1.705,0.076,4.685,0.272,2.257,0.115,2.04,0.5,0.0
EGS22922,F115W,1.905,10.08,0.397,35.5,-75.8,159.1,0.2,0.214,2.826,0.064,10.19,0.0,7.442,0.165,0.37,-0.34,0.02
EGS22922,F115W,1.905,10.08,0.397,8.9,-53.8,175.6,1.8,0.177,1.504,0.027,5.175,0.071,2.659,0.144,3.39,0.29,0.05
EGS22922,F150W,1.905,10.08,0.517,30.0,-75.7,124.9,1.2,0.238,3.2,0.062,10.088,0.0,4.987,0.044,0.38,-0.46,0.01
EGS22922,F150W,1.905,10.08,0.517,15.4,-11.6,168.4,0.7,0.15,1.501,0.023,6.552,0.084,45.356,0.0,3.04,0.1,0.03
EGS22922,F200W,1.905,10.08,0.685,30.6,-76.0,132.2,1.1,0.239,3.01,0.065,9.5,0.201,5.873,0.068,0.37,0.06,0.04
EGS22922,F200W,1.905,10.08,0.685,14.8,-11.2,162.3,0.6,0.141,1.854,0.034,6.29,0.088,43.205,0.0,1.84,0.21,0.07
EGS22922,F277W,1.905,10.08,0.959,16.0,-34.8,121.9,0.8,0.169,4.035,0.047,8.773,0.148,2.555,0.148,0.37,0.5,0.0
EGS22922,F277W,1.905,10.08,0.959,14.6,-24.3,119.1,1.0,0.111,2.031,0.057,5.015,0.0,43.341,0.0,1.13,0.2,0.04
EGS22922,F356W,1.905,10.08,1.226,14.5,-24.4,122.2,0.7,0.167,4.233,0.045,8.837,0.163,1.981,0.008,0.37,0.5,0.0
EGS22922,F356W,1.905,10.08,1.226,9.6,13.7,106.3,0.3,0.113,2.544,0.084,5.406,0.118,42.552,0.0,0.6,-0.15,0.06
EGS22922,F410M,1.905,10.08,1.409,18.0,-6.2,144.7,0.8,0.17,3.747,0.045,10.952,0.0,2.087,0.041,0.37,0.5,0.0
EGS22922,F410M,1.905,10.08,1.409,6.5,22.6,114.7,0.3,0.117,2.161,0.044,5.222,0.088,41.173,0.0,0.8,-0.5,0.0
EGS22922,F444W,1.905,10.08,1.522,29.4,-59.8,177.9,1.4,0.242,3.502,0.055,11.056,0.0,5.108,0.05,0.37,-0.5,0.0
EGS22922,F444W,1.905,10.08,1.522,38.5,-61.7,167.8,1.3,0.184,2.271,0.129,5.307,0.108,21.348,1.636,0.39,0.01,0.06
JADES158906,F090W,1.92,10.11,0.309,16.5,34.5,153.2,2.6,0.286,1.853,0.048,5.661,0.312,2.064,0.169,1.62,0.38,0.04
JADES158906,F090W,1.92,10.11,0.309,0.8,-57.6,126.8,0.7,0.153,1.256,0.081,3.886,0.253,12.477,5.625,0.37,0.36,0.06
JADES158906,F115W,1.92,10.11,0.395,10.9,-35.6,159.9,1.4,0.324,2.556,0.025,3.793,0.0,1.31,0.084,0.37,0.44,0.05
JADES158906,F115W,1.92,10.11,0.395,10.8,-59.9,170.4,1.1,0.208,2.805,0.048,5.206,0.0,1.706,0.094,3.5,-0.16,0.04
JADES158906,F150W,1.92,10.11,0.514,8.8,-19.8,170.5,1.5,0.293,2.276,0.023,3.774,0.0,1.152,0.058,0.37,0.45,0.04
JADES158906,F150W,1.92,10.11,0.514,8.8,-53.2,172.1,1.2,0.171,2.443,0.039,5.18,0.0,1.533,0.077,3.53,-0.08,0.04
JADES158906,F200W,1.92,10.11,0.682,4.4,-8.2,161.6,1.0,0.306,2.049,0.023,3.872,0.0,1.277,0.009,0.58,-0.1,0.03
JADES158906,F200W,1.92,10.11,0.682,6.3,-40.5,172.6,1.4,0.188,2.687,0.04,5.453,0.0,1.659,0.062,5.13,-0.14,0.04
JADES158906,F277W,1.92,10.11,0.954,12.6,-14.7,207.2,1.9,0.345,2.397,0.021,4.332,0.108,1.206,0.039,0.38,0.5,0.0
JADES158906,F277W,1.92,10.11,0.954,11.1,-44.1,188.2,2.4,0.2,2.658,0.073,5.479,0.0,2.144,0.066,2.42,0.0,0.05
JADES158906,F356W,1.92,10.11,1.22,7.4,-13.3,224.6,0.9,0.348,2.278,0.028,3.832,0.083,1.084,0.011,0.52,0.18,0.04
JADES158906,F356W,1.92,10.11,1.22,9.4,-27.6,178.3,2.2,0.167,2.305,0.07,5.498,0.0,1.716,0.069,2.26,0.03,0.05
JADES158906,F410M,1.92,10.11,1.401,9.3,-16.6,190.6,2.7,0.315,2.291,0.044,3.679,0.147,1.188,0.071,0.66,0.5,0.0
JADES158906,F410M,1.92,10.11,1.401,9.4,-40.6,178.8,4.1,0.179,2.46,0.097,5.458,0.227,1.681,0.089,3.21,-0.11,0.08
JADES158906,F444W,1.92,10.11,1.514,10.0,23.0,206.1,0.8,0.321,2.081,0.027,5.625,0.163,1.1,0.036,0.54,0.37,0.02
JADES158906,F444W,1.92,10.11,1.514,5.4,-24.6,186.2,1.2,0.187,2.834,0.0,5.575,0.0,1.444,0.048,3.74,-0.22,0.09
JADES160443,F150W,1.97,10.19,0.505,13.2,-68.7,127.8,2.1,0.142,3.673,0.104,6.389,0.337,5.854,0.622,0.37,-0.5,0.0
JADES160443,F150W,1.97,10.19,0.505,8.7,-28.5,276.7,3.2,0.092,1.414,0.032,10.883,0.664,3.369,0.175,6.57,0.5,0.0
JADES160443,F200W,1.97,10.19,0.67,14.8,-63.9,139.2,0.7,0.103,1.779,0.054,4.995,0.0,3.585,0.128,0.37,-0.42,0.02
JADES160443,F200W,1.97,10.19,0.67,10.1,-29.8,271.6,4.6,0.08,1.776,0.061,10.362,0.0,2.2,0.095,2.8,0.02,0.04
JADES160443,F277W,1.97,10.19,0.938,21.0,-64.3,152.2,0.8,0.105,2.255,0.052,5.411,0.187,2.358,0.053,5.38,-0.5,0.0
JADES160443,F277W,1.97,10.19,0.938,10.4,-26.3,262.3,2.5,0.109,2.824,0.0,9.632,0.0,1.076,0.055,1.36,-0.37,0.07
JADES160443,F356W,1.97,10.19,1.2,21.3,-51.4,181.1,1.2,0.122,1.833,0.047,5.754,0.184,2.624,0.052,6.29,-0.5,0.0
JADES160443,F356W,1.97,10.19,1.2,10.5,-19.0,264.6,2.1,0.112,2.589,0.0,9.234,0.0,0.995,0.008,1.41,-0.42,0.03
JADES160443,F410M,1.97,10.19,1.378,21.2,-38.2,187.5,1.3,0.126,1.559,0.037,5.732,0.164,2.428,0.04,7.62,-0.36,0.1
JADES160443,F410M,1.97,10.19,1.378,11.7,-4.4,274.0,2.0,0.112,2.334,0.0,8.936,0.0,0.794,0.014,3.05,0.25,0.07
JADES160443,F444W,1.97,10.19,1.489,21.4,-44.0,187.0,1.0,0.124,1.503,0.038,5.894,0.178,2.233,0.036,9.87,-0.4,0.08
JADES160443,F444W,1.97,10.19,1.489,12.2,-9.9,266.3,1.2,0.109,2.555,0.0,8.5,0.275,0.79,0.017,2.95,0.49,0.08
JADES164258,F150W,2.01,10.25,0.499,21.5,-16.8,140.7,7.7,0.034,2.165,0.147,7.819,0.396,2.1,0.237,0.37,-0.3,0.3
JADES164258,F150W,2.01,10.25,0.499,10.8,20.7,230.6,6.4,0.044,0.43,0.033,6.634,0.241,5.498,1.699,16.87,0.03,0.19
JADES164258,F150W,2.01,10.25,0.499,12.8,-27.9,201.2,2.2,0.282,2.323,0.077,6.173,0.243,4.949,0.222,0.66,-0.5,0.0
JADES164258,F200W,2.01,10.25,0.661,-1.5,78.1,106.8,2.2,0.036,1.916,0.234,4.155,0.0,7.673,5.41,1.29,0.5,0.0
JADES164258,F200W,2.01,10.25,0.661,14.8,11.8,243.8,3.7,0.073,1.23,0.075,6.455,0.18,17.909,6.621,6.06,-0.5,0.0
JADES164258,F200W,2.01,10.25,0.661,14.5,-33.3,211.1,2.9,0.209,3.097,0.0,6.401,0.187,2.421,0.046,0.37,-0.5,0.0
JADES164258,F277W,2.01,10.25,0.926,24.6,8.3,138.0,7.5,0.02,1.663,0.304,10.067,1.002,1.921,0.282,4.18,-0.26,0.45
JADES164258,F277W,2.01,10.25,0.926,13.4,26.0,244.5,25.1,0.035,0.537,0.07,6.745,0.633,2.466,0.722,20.09,0.5,0.0
JADES164258,F277W,2.01,10.25,0.926,13.1,-25.8,246.8,5.7,0.181,2.405,0.0,7.972,0.368,1.925,0.068,0.63,-0.5,0.0
JADES164258,F335M,2.01,10.25,1.118,18.4,12.5,164.2,9.7,0.028,2.091,0.0,9.67,0.443,1.938,0.11,2.72,0.25,0.0
JADES164258,F335M,2.01,10.25,1.118,13.1,38.3,229.7,3.9,0.034,0.246,0.025,6.532,0.344,2.302,0.272,6.06,0.5,0.0
JADES164258,F335M,2.01,10.25,1.118,13.9,-23.2,274.6,5.0,0.177,2.139,0.0,8.799,0.437,1.677,0.037,0.87,-0.1,0.02
JADES164258,F356W,2.01,10.25,1.184,21.0,22.5,162.9,22.7,0.023,2.023,0.0,10.986,1.055,2.144,0.211,2.72,0.25,0.0
JADES164258,F356W,2.01,10.25,1.184,14.3,37.0,224.9,11.1,0.03,0.361,0.094,6.741,0.585,2.369,0.482,19.32,0.5,0.0
JADES164258,F356W,2.01,10.25,1.184,13.9,-23.9,277.5,9.0,0.164,2.104,0.0,8.816,0.765,1.547,0.056,0.85,-0.12,0.03
EGS31125,F200W,2.06,10.33,0.65,28.2,-41.3,111.4,1.1,0.102,1.228,0.03,9.665,0.0,4.26,0.137,2.8,-0.14,0.02
EGS31125,F200W,2.06,10.33,0.65,27.2,-67.6,189.9,1.6,0.186,3.042,0.0,6.761,0.241,3.588,0.067,0.37,-0.42,0.04
EGS31125,F277W,2.06,10.33,0.91,30.7,-27.1,104.3,0.5,0.118,2.669,0.0,10.124,0.0,3.285,0.053,0.79,-0.5,0.0
EGS31125,F277W,2.06,10.33,0.91,37.9,-64.5,267.5,0.0,0.243,2.45,0.0,9.477,0.0,5.395,0.089,5.76,-0.31,0.02
EGS31125,F356W,2.06,10.33,1.164,38.7,-68.7,228.1,0.4,0.182,2.422,0.0,9.855,0.0,5.429,0.125,9.77,-0.5,0.0
EGS31125,F356W,2.06,10.33,1.164,36.5,-67.2,254.8,0.0,0.247,2.495,0.0,8.517,0.146,6.285,0.138,8.48,-0.5,0.0
EGS31125,F410M,2.06,10.33,1.337,38.8,-75.8,259.0,0.4,0.224,1.964,0.0,9.08,0.0,4.05,0.064,6.06,-0.5,0.0
EGS31125,F410M,2.06,10.33,1.337,36.0,-59.6,166.2,1.4,0.19,1.581,0.06,7.971,0.155,4.796,0.096,7.54,-0.42,0.02
EGS31125,F444W,2.06,10.33,1.445,39.3,-70.3,251.1,0.0,0.196,1.785,0.0,10.734,0.0,4.564,0.057,7.31,-0.5,0.0
EGS31125,F444W,2.06,10.33,1.445,36.9,-60.9,231.1,0.0,0.214,1.681,0.078,9.065,0.184,6.935,0.181,10.13,-0.5,0.0
EGS23205,F200W,2.136,10.44,0.635,6.5,-42.0,202.3,0.4,0.17,3.519,0.039,7.567,0.0,4.077,0.042,4.91,-0.38,0.01
EGS23205,F200W,2.136,10.44,0.635,9.8,1.3,208.4,2.1,0.162,1.436,0.021,7.906,0.119,19.609,1.744,6.08,-0.14,0.01
EGS23205,F277W,2.136,10.44,0.888,9.3,-21.2,180.3,1.7,0.134,3.125,0.021,7.509,0.0,4.295,0.051,2.9,-0.4,0.0
EGS23205,F277W,2.136,10.44,0.888,11.3,7.8,202.9,2.4,0.121,1.933,0.026,7.818,0.0,29.956,3.584,4.99,0.18,0.03
EGS23205,F356W,2.136,10.44,1.136,8.3,20.2,181.8,1.0,0.128,2.874,0.026,8.541,0.169,4.59,0.072,1.9,-0.43,0.01
EGS23205,F356W,2.136,10.44,1.136,11.3,-9.4,194.0,1.1,0.113,1.696,0.026,7.581,0.0,21.235,2.473,5.14,0.11,0.03
EGS23205,F410M,2.136,10.44,1.305,6.0,18.6,178.2,0.9,0.128,2.81,0.036,7.211,0.0,3.889,0.059,1.26,-0.4,0.01
EGS23205,F410M,2.136,10.44,1.305,11.2,-12.3,192.6,2.1,0.113,1.623,0.03,8.062,0.097,14.484,1.45,3.73,0.12,0.04
EGS23205,F444W,2.136,10.44,1.41,7.2,16.7,179.0,0.6,0.13,2.901,0.042,7.551,0.135,4.438,0.077,1.3,-0.4,0.01
EGS23205,F444W,2.136,10.44,1.41,11.2,-21.2,190.1,2.6,0.112,1.816,0.036,7.731,0.119,21.404,3.21,3.42,0.23,0.04
EGS24268,F200W,2.305,10.67,0.602,39.5,-82.6,195.0,4.8,0.133,1.27,0.033,10.212,0.0,1.016,0.023,2.36,0.5,0.0
EGS24268,F200W,2.305,10.67,0.602,31.4,10.1,144.9,1.7,0.11,2.288,0.0,7.305,0.166,3.297,0.109,0.79,-0.25,0.0
EGS24268,F277W,2.305,10.67,0.843,29.9,-68.9,190.0,4.9,0.115,1.85,0.048,5.946,0.0,0.748,0.014,3.83,-0.02,0.06
EGS24268,F277W,2.305,10.67,0.843,25.2,-13.0,175.2,1.0,0.097,2.352,0.0,4.992,0.0,3.163,0.059,1.3,-0.25,0.0
EGS24268,F356W,2.305,10.67,1.078,38.6,41.8,135.2,4.5,0.101,1.812,0.0,5.765,0.0,0.611,0.03,4.57,0.41,0.03
EGS24268,F356W,2.305,10.67,1.078,30.4,10.3,161.6,2.2,0.085,2.001,0.0,6.186,0.157,2.814,0.058,1.49,0.12,0.08
EGS24268,F410M,2.305,10.67,1.238,25.0,-63.7,191.8,1.1,0.094,1.789,0.0,6.286,0.0,1.561,0.025,6.06,-0.5,0.0
EGS24268,F410M,2.305,10.67,1.238,37.4,-73.7,160.6,8.2,0.086,1.346,0.176,5.874,0.388,4.811,0.398,2.69,0.23,0.15
EGS24268,F444W,2.305,10.67,1.338,42.2,73.9,131.1,1.2,0.086,1.727,0.0,10.135,0.0,0.599,0.037,4.88,0.23,0.12
EGS24268,F444W,2.305,10.67,1.338,25.1,4.7,168.3,2.9,0.071,2.113,0.0,5.199,0.0,2.955,0.068,0.86,-0.25,0.0
EGS30172,F150W,3.29,11.56,0.35,7.8,0.6,49.2,5.0,0.069,0.763,0.042,2.252,0.104,7.329,0.0,1.0,0.0,0.0
EGS30172,F150W,3.29,11.56,0.35,23.8,-61.7,89.8,1.8,0.127,0.804,0.0,3.55,0.081,1.002,0.05,1.0,0.0,0.0
EGS30172,F200W,3.29,11.56,0.464,16.3,-62.2,50.1,2.3,0.062,0.807,0.0,2.472,0.106,0.564,0.07,1.0,0.0,0.0
EGS30172,F200W,3.29,11.56,0.464,32.3,-61.0,83.6,3.5,0.104,0.711,0.0,4.171,0.104,1.41,0.072,1.0,0.0,0.0
EGS30172,F277W,3.29,11.56,0.649,-1.1,-63.2,44.8,6.7,0.061,1.116,0.045,1.859,0.081,3.175,6.76,1.0,0.0,0.0
EGS30172,F277W,3.29,11.56,0.649,32.0,-34.9,77.4,1.6,0.115,1.182,0.0,3.978,0.084,1.359,0.062,1.0,0.0,0.0
EGS21378,F150W,3.301,11.57,0.349,6.8,1.5,263.5,3.7,0.317,1.773,0.063,5.722,0.254,7.958,3.656,1.0,0.0,0.0
EGS21378,F200W,3.301,11.57,0.463,8.1,-1.7,364.4,1.6,0.322,2.134,0.023,5.817,0.1,25.974,0.0,1.0,0.0,0.0
EGS21378,F277W,3.301,11.57,0.648,6.5,18.6,378.8,0.0,0.272,2.515,0.022,5.956,0.0,24.998,0.0,1.0,0.0,0.0
