Galaxy,Subsample,Filter,z,t_L (Gyr),λ rf (μm),M rf,M F814W,N arms,R_25 (kpc),D/T,B/T,Bar/T,R/T,S/T,Disc h (kpc),Disc h err,Disc I_0 (μJy/sq.arcsec),Disc I_0 err,Bulge r_e (kpc),Bulge r_e err,Bulge I_e (μJy/sq.arcsec),Bulge I_e err,Bulge n,Bulge n err,Bar r_e (kpc),Bar r_e err,Bar I_e (μJy/sq.arcsec),Bar I_e err,Bar n,Bar n err,μ (deg),μ std,Δμ (deg),Δμ std,l_ψ (deg),l_ψ std,w (kpc),w std,r_end (kpc),r_end err,h_s (kpc),h_s std,W_i,W_i std,S,S std,A_sp
EGS21891,CEERS,F200W,1.126,8.18,0.936,-21.8,-21.79,5,16.162,0.517,0.144,0.0,0.0,0.339,2.738,0.015,79.8,1.0,0.8,0.0,104.5,0.6,1.17,0.0,,,,,,,23.9,6.2,17.8,14.4,146.3,45.4,1.655,0.494,8854.936,132.557,10.71,6.616,7.3,4.82,-0.22,0.19,0.497
EGS21891,CEERS,F277W,1.126,8.18,1.31,-21.92,-21.79,5,17.282,0.309,0.208,0.0,0.0,0.483,2.758,0.0,52.1,1.2,0.951,0.016,90.8,2.3,1.14,0.02,,,,,,,17.6,5.1,12.7,22.0,173.9,51.6,2.396,0.881,7316.77,0.0,11.703,8.111,6.05,5.24,-0.19,0.28,0.336
EGS21891,CEERS,F356W,1.126,8.18,1.676,-21.9,-21.79,5,16.591,0.383,0.155,0.0,0.0,0.463,2.819,0.022,59.4,1.6,0.796,0.0,110.1,1.9,0.92,0.0,,,,,,,22.7,9.3,12.1,18.6,167.9,42.8,1.962,0.634,9315.812,270.436,10.03,7.717,4.48,2.9,-0.19,0.17,0.38
EGS21891,CEERS,F410M,1.126,8.18,1.925,-21.87,-21.79,5,16.394,0.543,0.114,0.0,0.0,0.343,2.413,0.018,105.7,2.2,0.64,0.011,128.4,3.9,0.7,0.04,,,,,,,13.1,13.4,35.9,17.1,150.8,53.9,1.447,0.693,8674.554,374.513,3.721,0.892,6.79,5.66,-0.04,0.34,0.538
EGS21891,CEERS,F444W,1.126,8.18,2.08,-21.82,-21.79,5,16.84,0.547,0.116,0.0,0.0,0.337,2.591,0.014,91.2,1.3,0.644,0.005,136.3,2.3,0.54,0.02,,,,,,,17.0,13.4,43.6,16.8,144.1,46.0,1.527,0.673,10122.333,331.096,2.935,1.068,5.55,4.74,0.12,0.41,0.501
EGS22339,CEERS,F115W,1.543,9.37,0.454,-22.66,-23.33,2,20.54,0.532,0.19,0.0,0.0,0.278,5.11,0.033,45.8,0.7,0.971,0.011,148.3,2.7,1.95,0.02,,,,,,,13.4,6.7,-18.8,3.1,272.1,95.4,2.855,0.292,14828.262,235.813,30.972,15.491,3.41,1.82,0.0,0.0,0.665
EGS22339,CEERS,F150W,1.543,9.37,0.59,-22.99,-23.33,2,19.583,0.418,0.277,0.0,0.0,0.305,3.734,0.0,85.1,0.8,1.049,0.009,246.5,3.2,1.95,0.02,,,,,,,12.7,7.5,-10.1,6.7,285.8,107.4,3.529,0.61,15491.356,222.655,30.796,8.847,2.44,1.61,0.0,0.0,0.579
EGS22339,CEERS,F200W,1.543,9.37,0.782,-23.3,-23.33,2,20.879,0.449,0.313,0.0,0.0,0.238,3.44,0.0,139.6,0.8,1.022,0.005,408.7,3.6,1.81,0.01,,,,,,,11.3,9.2,1.7,7.1,247.1,84.0,3.393,0.407,14872.516,206.243,38.323,0.0,2.77,1.82,0.0,0.0,0.595
EGS22339,CEERS,F277W,1.543,9.37,1.096,-23.65,-23.33,2,23.049,0.469,0.36,0.0,0.0,0.171,3.871,0.019,161.3,1.9,1.08,0.005,659.9,4.9,1.33,0.01,,,,,,,11.7,7.2,9.3,3.7,236.1,87.1,3.445,0.209,14435.39,215.353,37.25,0.0,1.14,0.33,0.0,0.0,0.653
EGS22339,CEERS,F356W,1.543,9.37,1.401,-23.81,-23.33,2,22.73,0.453,0.384,0.0,0.0,0.163,3.558,0.018,203.4,2.5,1.04,0.005,874.0,6.3,1.31,0.01,,,,,,,10.6,6.7,2.9,6.6,238.4,90.5,3.162,0.391,12640.906,265.231,35.965,0.0,2.16,1.24,0.0,0.0,0.663
EGS22339,CEERS,F410M,1.543,9.37,1.609,-23.92,-23.33,2,21.599,0.435,0.404,0.0,0.0,0.161,3.441,0.016,239.6,2.7,1.002,0.004,1091.7,6.8,1.36,0.01,,,,,,,10.2,6.5,10.7,1.8,236.8,88.1,3.275,0.2,13275.877,241.327,35.223,0.0,1.88,0.93,0.0,0.0,0.647
EGS22339,CEERS,F444W,1.543,9.37,1.738,-23.92,-23.33,2,24.077,0.436,0.405,0.0,0.0,0.16,3.489,0.02,227.2,3.2,1.002,0.005,1086.1,8.6,1.37,0.01,,,,,,,11.3,7.2,13.8,2.0,238.3,90.2,3.248,0.279,14078.972,292.34,35.846,0.0,1.83,1.05,0.0,0.0,0.644
EGS22922,CEERS,F115W,1.905,10.08,0.397,-22.46,-23.24,2,21.381,0.454,0.155,0.0,0.0,0.391,4.491,0.046,48.0,0.8,0.941,0.006,201.9,1.9,0.57,0.01,,,,,,,23.5,13.3,-65.9,10.9,166.6,8.2,2.376,0.89,10189.828,0.0,5.279,2.381,1.73,1.5,-0.05,0.31,0.692
EGS22922,CEERS,F150W,1.905,10.08,0.517,-22.83,-23.24,2,32.84,0.426,0.186,0.0,0.0,0.388,5.202,0.051,49.4,0.9,1.163,0.006,253.0,1.9,0.6,0.01,,,,,,,24.4,7.1,-51.0,31.2,141.7,21.2,2.615,0.949,10088.362,0.0,20.554,19.649,1.41,1.3,-0.24,0.27,0.703
EGS22922,CEERS,F200W,1.905,10.08,0.685,-23.13,-23.24,2,26.431,0.387,0.233,0.0,0.0,0.381,4.231,0.037,94.5,1.6,1.07,0.004,427.5,2.5,0.54,0.01,,,,,,,24.8,7.6,-51.9,31.3,143.4,14.5,2.644,0.693,9500.45,201.03,19.722,18.034,0.91,0.71,0.11,0.07,0.693
EGS22922,CEERS,F277W,1.905,10.08,0.959,-23.32,-23.24,2,26.706,0.314,0.406,0.0,0.0,0.281,4.381,0.05,84.8,2.1,1.412,0.005,505.8,3.1,0.8,0.01,,,,,,,15.5,0.7,-30.6,5.1,120.8,1.4,3.244,0.989,8773.054,147.684,18.719,19.95,0.67,0.37,0.38,0.15,0.785
EGS22922,CEERS,F356W,1.905,10.08,1.226,-23.45,-23.24,2,28.321,0.278,0.441,0.0,0.0,0.28,4.413,0.05,83.7,2.1,1.363,0.005,650.3,3.6,0.83,0.01,,,,,,,12.5,2.4,-9.0,18.7,115.8,7.8,3.562,0.858,8836.704,162.855,18.355,19.905,0.46,0.11,0.24,0.32,0.817
EGS22922,CEERS,F410M,1.905,10.08,1.409,-23.5,-23.24,2,28.621,0.256,0.457,0.0,0.0,0.286,4.472,0.051,79.2,2.0,1.296,0.004,754.3,3.4,0.81,0.01,,,,,,,13.3,5.6,5.5,14.2,132.5,14.8,3.134,0.845,10951.686,0.0,18.03,19.208,0.54,0.21,0.09,0.49,0.85
EGS22922,CEERS,F444W,1.905,10.08,1.522,-23.58,-23.24,2,26.645,0.218,0.356,0.0,0.0,0.427,3.49,0.049,91.7,3.3,0.919,0.003,971.0,5.2,0.65,0.01,,,,,,,33.3,4.5,-60.7,0.9,173.5,5.0,2.956,0.463,11055.7,0.0,12.12,8.044,0.38,0.01,-0.28,0.25,0.614
EGS23205,CEERS,F200W,2.136,10.44,0.635,-23.45,-23.75,2,24.042,0.417,0.106,0.145,0.0,0.332,3.651,0.029,129.9,2.3,0.564,0.013,563.9,21.0,1.49,0.05,2.3,0.014,164.8,2.0,0.37,0.01,8.1,1.6,-20.8,21.6,205.2,3.0,2.498,1.031,7906.023,119.105,11.663,7.764,5.48,0.58,-0.26,0.12,0.436
EGS23205,CEERS,F277W,2.136,10.44,0.888,-23.9,-23.75,2,21.455,0.428,0.093,0.224,0.0,0.255,3.217,0.0,244.8,1.5,0.511,0.004,1161.6,16.5,0.64,0.02,2.641,0.013,277.8,2.1,0.48,0.0,10.2,1.0,-7.4,14.4,191.1,11.3,2.557,0.588,7817.944,0.0,16.499,12.815,3.89,1.04,-0.13,0.29,0.428
EGS23205,CEERS,F356W,2.136,10.44,1.136,-24.32,-23.75,2,26.737,0.418,0.085,0.256,0.0,0.241,2.783,0.016,466.4,5.4,0.498,0.005,2051.8,44.2,0.64,0.04,2.522,0.014,503.1,4.0,0.59,0.01,9.7,1.5,6.3,14.8,187.5,6.1,2.319,0.578,8541.407,168.537,12.416,8.308,3.42,1.61,-0.18,0.27,0.435
EGS23205,CEERS,F410M,2.136,10.44,1.305,-24.52,-23.75,2,24.287,0.389,0.086,0.283,0.0,0.241,2.721,0.016,534.7,6.5,0.474,0.005,2971.4,68.0,0.65,0.06,2.529,0.013,673.3,4.5,0.62,0.01,8.4,2.6,4.1,15.4,184.9,7.2,2.252,0.578,8061.588,97.047,8.858,5.288,2.42,1.23,-0.15,0.26,0.436
EGS23205,CEERS,F444W,2.136,10.44,1.41,-24.57,-23.75,2,29.381,0.395,0.093,0.27,0.0,0.242,2.701,0.017,604.5,7.9,0.475,0.006,3243.6,81.2,0.71,0.07,2.512,0.015,728.6,5.5,0.57,0.01,9.0,2.0,-0.8,18.9,184.2,5.5,2.397,0.528,7731.06,119.401,12.302,8.46,2.28,1.06,-0.11,0.32,0.438
EGS23259,CEERS,F115W,1.533,9.34,0.456,-21.51,,3,16.484,0.507,0.118,0.0,0.0,0.375,4.422,0.046,25.5,0.5,0.826,0.011,91.2,1.9,1.21,0.02,,,,,,,32.2,7.2,-53.0,22.9,117.2,21.0,1.478,0.255,12319.525,0.0,24.725,16.333,2.27,0.46,0.27,0.15,0.631
EGS23259,CEERS,F150W,1.533,9.34,0.593,-21.98,,3,18.159,0.535,0.127,0.0,0.0,0.338,4.171,0.034,44.3,0.7,0.813,0.008,157.9,2.8,1.17,0.02,,,,,,,32.0,5.1,-48.8,17.1,134.3,29.9,1.678,0.231,12801.726,0.0,8.714,5.069,2.05,0.48,-0.01,0.12,0.531
EGS23259,CEERS,F200W,1.533,9.34,0.786,-22.32,,3,17.741,0.448,0.164,0.0,0.0,0.387,3.295,0.024,78.5,1.3,0.84,0.006,282.3,3.2,0.99,0.01,,,,,,,26.6,5.7,-35.7,28.1,164.0,39.8,2.249,0.419,8881.276,286.146,3.426,2.651,4.25,1.16,0.02,0.35,0.481
EGS24154,CEERS,F115W,1.174,8.34,0.531,-22.78,-23.46,4,21.552,0.479,0.067,0.249,0.0,0.205,4.383,0.027,61.6,0.9,0.409,0.003,511.6,5.5,0.86,0.01,2.78,0.007,93.5,0.4,0.3,0.0,19.7,2.8,7.8,12.0,161.5,22.4,2.988,1.818,21559.947,0.0,3.899,2.272,1.92,1.01,0.15,0.43,0.551
EGS24154,CEERS,F150W,1.174,8.34,0.69,-23.24,-23.46,4,22.44,0.526,0.081,0.202,0.0,0.191,3.732,0.013,137.9,1.0,0.425,0.003,800.4,9.4,1.08,0.02,2.776,0.009,133.4,0.6,0.3,0.0,18.9,3.0,4.2,11.4,196.8,46.7,2.115,0.274,21645.986,0.0,3.171,1.007,2.0,0.98,0.13,0.14,0.529
EGS24154,CEERS,F200W,1.174,8.34,0.915,-23.62,-23.46,4,24.602,0.474,0.113,0.158,0.0,0.255,3.885,0.012,168.0,1.3,0.52,0.005,960.0,13.2,1.2,0.02,2.652,0.01,161.7,1.3,0.3,0.0,18.2,3.2,7.6,16.9,205.2,37.6,3.68,1.074,22022.227,0.0,3.088,1.852,0.84,0.2,-0.31,0.18,0.383
EGS24154,CEERS,F277W,1.174,8.34,1.282,-23.98,-23.46,4,28.004,0.404,0.125,0.167,0.0,0.304,3.492,0.0,239.8,1.6,0.579,0.006,1297.7,18.1,0.85,0.02,2.577,0.02,213.5,2.8,0.36,0.01,20.7,4.1,1.1,22.3,199.3,35.0,3.621,0.558,22017.392,0.0,6.914,8.873,1.83,1.1,-0.18,0.38,0.341
EGS24154,CEERS,F356W,1.174,8.34,1.639,-24.07,-23.46,4,28.27,0.381,0.14,0.16,0.0,0.318,3.372,0.0,260.7,2.1,0.597,0.009,1398.4,32.6,1.0,0.04,2.569,0.023,214.3,4.6,0.37,0.01,20.0,2.1,-5.6,23.6,217.7,52.8,3.492,0.533,22030.112,0.0,9.238,12.994,1.84,1.11,-0.15,0.38,0.338
EGS24154,CEERS,F410M,1.174,8.34,1.882,-24.06,-23.46,4,28.864,0.386,0.132,0.191,0.0,0.29,3.404,0.0,257.8,1.6,0.528,0.004,1913.2,30.2,0.82,0.03,2.801,0.015,247.6,3.0,0.34,0.01,19.1,2.8,-16.4,32.1,191.9,42.3,2.98,0.234,15329.215,363.045,9.816,13.781,1.83,1.1,-0.14,0.39,0.362
EGS24154,CEERS,F444W,1.174,8.34,2.034,-24.01,-23.46,4,27.224,0.386,0.13,0.196,0.0,0.289,3.392,0.0,252.5,1.9,0.53,0.003,1953.1,26.3,0.58,0.03,2.785,0.014,237.4,2.5,0.37,0.01,18.5,2.3,-16.6,27.7,205.4,53.0,3.108,0.398,17850.305,851.409,9.525,13.669,1.83,1.1,-0.17,0.4,0.361
EGS24268,CEERS,F200W,2.305,10.67,0.602,-22.05,-22.24,2,23.498,0.678,0.079,0.0,0.0,0.243,2.305,0.013,169.6,1.8,0.485,0.007,158.7,2.3,1.0,0.0,,,,,,,35.8,4.0,-40.5,46.1,172.3,24.9,1.715,0.418,10212.37,0.0,2.051,1.136,1.65,0.78,0.16,0.37,0.64
EGS24268,CEERS,F277W,2.305,10.67,0.843,-22.29,-22.24,2,18.388,0.591,0.197,0.0,0.0,0.212,2.267,0.012,194.1,2.5,0.668,0.005,257.7,1.6,1.0,0.0,,,,,,,27.8,2.3,-43.3,27.9,183.3,7.4,2.077,0.205,5946.457,0.0,1.852,1.203,2.68,1.26,-0.12,0.12,0.555
EGS24268,CEERS,F356W,2.305,10.67,1.078,-22.59,-22.24,2,17.735,0.571,0.243,0.0,0.0,0.187,1.869,0.008,352.3,4.0,0.529,0.003,670.2,4.3,1.0,0.0,,,,,,,34.9,4.1,27.4,15.7,147.3,13.2,1.903,0.0,6186.274,157.066,1.62,1.098,3.16,1.54,0.28,0.14,0.568
EGS24268,CEERS,F410M,2.305,10.67,1.238,-22.74,-22.24,2,,0.588,0.232,0.0,0.0,0.18,1.504,0.009,669.0,10.0,0.426,0.004,1132.6,12.3,1.0,0.0,,,,,,,30.9,6.2,-68.4,5.0,176.9,15.6,1.579,0.12,6285.542,0.0,3.11,1.623,4.46,1.68,-0.15,0.36,0.535
EGS24268,CEERS,F444W,2.305,10.67,1.338,-22.81,-22.24,2,23.568,0.522,0.321,0.0,0.0,0.158,1.94,0.01,388.3,5.2,0.526,0.003,1098.7,5.9,1.0,0.0,,,,,,,34.5,8.5,42.6,34.4,147.9,18.5,1.923,0.0,10134.801,0.0,1.664,1.173,3.06,2.0,0.02,0.24,0.527
EGS25604,CEERS,F115W,1.664,9.63,0.433,-22.29,-23.49,1,17.096,0.38,0.368,0.0,0.0,0.253,3.668,0.039,52.2,1.4,0.976,0.01,243.0,3.7,1.8,0.02,,,,,,,3.8,0.0,4.4,0.0,315.1,0.0,1.136,0.0,5704.979,0.0,11.738,0.0,2.51,0.0,0.13,0.0,0.407
EGS25604,CEERS,F150W,1.664,9.63,0.563,-22.9,-23.49,1,20.316,0.414,0.368,0.0,0.0,0.219,3.252,0.021,129.3,2.1,0.888,0.006,513.8,5.5,1.76,0.01,,,,,,,4.1,0.0,4.8,0.0,314.4,0.0,1.656,0.0,5720.553,0.0,30.334,0.0,2.16,0.0,0.15,0.0,0.392
EGS25604,CEERS,F200W,1.664,9.63,0.747,-23.37,-23.49,1,22.373,0.428,0.373,0.0,0.0,0.2,3.165,0.013,220.4,2.5,0.883,0.005,801.8,8.0,1.94,0.02,,,,,,,4.0,0.0,5.4,0.0,317.0,0.0,1.812,0.0,5740.649,0.0,30.362,0.0,2.08,0.0,0.18,0.0,0.367
EGS25604,CEERS,F277W,1.664,9.63,1.046,-23.88,-23.49,1,27.933,0.439,0.336,0.0,0.0,0.225,2.704,0.017,476.2,8.1,0.842,0.005,1639.6,15.7,0.99,0.01,,,,,,,7.6,0.0,-13.9,0.0,350.1,0.0,2.189,0.0,5876.899,0.0,27.423,0.0,1.92,0.0,0.23,0.0,0.324
EGS25604,CEERS,F356W,1.664,9.63,1.338,-24.06,-23.49,1,26.212,0.377,0.359,0.0,0.0,0.263,2.602,0.0,516.2,5.5,0.759,0.003,2484.8,19.4,0.95,0.01,,,,,,,9.4,0.0,-24.5,0.0,371.8,0.0,2.406,0.0,5834.523,0.0,26.022,0.0,1.8,0.0,0.27,0.0,0.305
EGS25604,CEERS,F410M,1.664,9.63,1.536,-24.2,-23.49,1,27.895,0.458,0.351,0.0,0.0,0.191,2.496,0.011,758.3,9.4,0.703,0.004,3243.8,31.8,1.1,0.02,,,,,,,2.9,0.0,-23.9,0.0,368.3,0.0,2.356,0.0,5762.599,0.0,23.972,0.0,1.41,0.0,-0.5,0.0,0.339
EGS25604,CEERS,F444W,1.664,9.63,1.66,-24.31,-23.49,1,28.721,0.459,0.355,0.0,0.0,0.186,2.484,0.014,834.8,13.0,0.674,0.004,3876.3,45.5,1.06,0.02,,,,,,,3.7,0.0,-28.6,0.0,373.8,0.0,2.205,0.0,5783.915,0.0,23.431,0.0,1.3,0.0,-0.46,0.0,0.361
EGS25879,CEERS,F115W,1.47,9.19,0.467,-23.33,-24.27,3,22.173,0.524,0.204,0.0,0.0,0.272,4.469,0.038,83.1,1.4,1.256,0.007,297.5,1.7,1.0,0.0,,,,,,,26.1,8.4,-53.1,9.2,198.0,33.1,2.258,0.652,14744.061,0.0,3.724,2.291,9.09,2.1,-0.09,0.49,0.838
EGS25879,CEERS,F150W,1.47,9.19,0.608,-23.88,-24.27,3,26.851,0.481,0.205,0.0,0.0,0.315,4.157,0.027,152.5,2.2,1.265,0.005,479.6,2.2,1.0,0.0,,,,,,,26.5,4.8,-54.9,11.8,227.9,26.3,2.289,1.011,15403.918,0.0,4.63,2.635,7.79,2.71,-0.16,0.38,0.647
EGS25879,CEERS,F200W,1.47,9.19,0.806,-24.27,-24.27,3,26.707,0.37,0.191,0.0,0.0,0.439,4.286,0.03,163.4,3.0,1.217,0.005,772.0,3.8,1.0,0.0,,,,,,,24.5,6.4,-43.2,18.1,279.5,50.8,3.062,0.542,17341.738,0.0,3.837,1.439,10.3,1.67,-0.43,0.05,0.436
EGS25879,CEERS,F277W,1.47,9.19,1.128,-24.77,-24.27,3,27.893,0.329,0.251,0.0,0.0,0.42,4.256,0.039,257.8,7.0,1.489,0.01,908.1,6.3,1.0,0.0,,,,,,,28.1,3.6,-14.4,23.7,219.7,32.4,3.278,0.125,20068.393,0.0,3.039,0.998,6.71,0.76,-0.29,0.31,0.43
EGS25879,CEERS,F356W,1.47,9.19,1.442,-25.03,-24.27,3,29.945,0.276,0.298,0.0,0.0,0.426,4.388,0.044,244.4,7.1,1.396,0.008,1124.2,6.8,1.0,0.0,,,,,,,27.4,4.4,-10.3,22.5,206.9,28.3,3.432,0.022,18312.005,0.0,2.869,0.676,8.89,2.17,-0.35,0.34,0.429
EGS25879,CEERS,F410M,1.47,9.19,1.657,-25.21,-24.27,3,29.913,0.332,0.244,0.0,0.0,0.424,4.171,0.028,434.8,8.7,1.315,0.007,1601.9,9.6,1.0,0.0,,,,,,,28.8,5.7,-14.6,23.3,213.0,34.8,3.266,0.016,20383.065,0.0,2.746,1.167,4.78,2.9,-0.27,0.34,0.428
EGS25879,CEERS,F444W,1.47,9.19,1.79,-25.22,-24.27,3,30.133,0.336,0.247,0.0,0.0,0.417,3.975,0.036,477.4,12.8,1.288,0.01,1622.5,13.5,1.0,0.0,,,,,,,27.9,5.7,-30.0,17.1,201.9,29.2,3.21,0.059,17086.851,807.879,2.75,1.07,4.37,1.34,-0.22,0.35,0.437
EGS26748,CEERS,F115W,1.204,8.44,0.524,-21.71,-22.12,2,14.733,0.535,0.013,0.0,0.0,0.452,2.598,0.013,60.7,0.4,0.228,0.003,117.6,2.5,0.5,0.0,,,,,,,18.9,5.4,-16.7,17.0,332.3,39.8,2.128,0.211,11532.757,180.974,6.005,0.681,2.1,0.42,0.15,0.11,0.527
EGS26748,CEERS,F150W,1.204,8.44,0.681,-22.01,-22.12,2,19.634,0.575,0.023,0.0,0.0,0.403,2.536,0.011,90.3,0.5,0.342,0.006,163.8,4.6,1.0,0.0,,,,,,,19.0,4.9,-27.4,9.4,323.9,26.4,2.332,0.271,10816.404,185.98,7.617,3.003,1.85,0.61,0.16,0.1,0.569
EGS26748,CEERS,F200W,1.204,8.44,0.903,-22.18,-22.12,2,17.225,0.626,0.033,0.0,0.0,0.341,2.621,0.009,112.5,0.6,0.394,0.006,189.4,4.1,1.0,0.0,,,,,,,19.4,4.7,-25.8,8.2,320.0,23.8,2.261,0.435,11081.181,146.858,4.828,1.198,1.63,0.53,0.2,0.07,0.54
EGS26748,CEERS,F277W,1.204,8.44,1.264,-22.43,-22.12,2,16.002,0.477,0.059,0.0,0.0,0.464,2.344,0.015,124.5,2.2,0.579,0.009,160.0,3.9,0.78,0.03,,,,,,,15.6,7.9,-15.4,13.9,372.6,18.8,2.73,0.465,11681.274,0.0,2.82,1.762,6.27,4.05,0.38,0.12,0.522
EGS26748,CEERS,F356W,1.204,8.44,1.617,-22.43,-22.12,2,15.823,0.55,0.051,0.0,0.0,0.398,2.076,0.01,192.8,1.5,0.529,0.009,193.4,4.8,1.0,0.0,,,,,,,16.9,6.0,-25.5,0.6,314.8,39.0,2.776,0.286,10125.538,163.775,6.3,3.857,1.11,0.07,-0.07,0.37,0.602
EGS26748,CEERS,F410M,1.204,8.44,1.857,-22.46,-22.12,2,17.137,0.375,0.078,0.0,0.0,0.547,2.405,0.024,97.5,2.9,0.559,0.006,241.0,6.3,0.51,0.05,,,,,,,18.5,9.0,-18.0,10.2,358.6,2.4,2.853,0.0,11850.699,0.0,2.352,1.161,6.88,4.52,0.34,0.15,0.475
EGS26748,CEERS,F444W,1.204,8.44,2.006,-22.38,-22.12,2,15.249,0.426,0.068,0.0,0.0,0.507,2.051,0.016,140.7,2.4,0.489,0.009,180.4,3.9,1.0,0.0,,,,,,,17.4,9.0,-30.2,2.2,353.4,6.8,2.757,0.051,11824.241,0.0,2.839,1.672,7.33,5.88,0.37,0.12,0.516
EGS26831,CEERS,F200W,1.543,9.37,0.782,-22.43,-22.47,2,,0.512,0.08,0.229,0.0,0.179,4.944,0.047,43.8,0.7,0.82,0.028,132.5,6.3,1.17,0.05,2.552,0.034,79.5,1.6,0.5,0.0,28.5,6.6,-68.3,14.0,112.0,0.7,3.505,1.666,6037.072,0.0,3.756,0.857,0.65,0.28,0.1,0.31,0.511
EGS26831,CEERS,F277W,1.543,9.37,1.096,-22.76,-22.47,2,22.808,0.475,0.123,0.223,0.0,0.178,3.481,0.016,120.9,1.3,0.706,0.006,389.4,4.6,0.53,0.01,2.524,0.015,129.7,1.3,0.25,0.0,22.9,2.8,-12.3,18.9,151.8,40.9,2.866,1.382,7086.992,115.705,6.967,4.837,7.94,8.35,0.15,0.45,0.609
EGS26831,CEERS,F356W,1.543,9.37,1.401,-22.93,-22.47,2,22.728,0.433,0.168,0.23,0.0,0.169,3.354,0.016,143.8,1.6,0.74,0.004,567.8,2.8,0.5,0.0,2.542,0.013,146.1,1.3,0.25,0.0,26.4,5.0,-42.2,6.4,140.5,30.8,2.741,1.301,7524.727,143.278,4.609,1.629,7.36,8.3,0.18,0.44,0.66
EGS26831,CEERS,F410M,1.543,9.37,1.609,-23.07,-22.47,2,21.934,0.401,0.19,0.225,0.0,0.184,3.386,0.02,148.8,2.1,0.734,0.004,742.3,3.9,0.5,0.0,2.619,0.015,159.6,2.0,0.25,0.0,27.4,5.1,-47.0,12.9,147.5,37.4,2.733,1.271,8096.418,209.518,3.434,0.689,7.45,8.15,0.21,0.46,0.651
EGS26831,CEERS,F444W,1.543,9.37,1.738,-23.08,-22.47,2,22.892,0.393,0.201,0.226,0.0,0.181,3.415,0.018,155.0,2.0,0.743,0.003,749.0,2.9,0.5,0.0,2.555,0.014,164.8,1.6,0.25,0.0,21.7,1.7,8.3,22.2,145.9,32.0,2.874,1.364,8124.972,171.198,4.845,3.547,7.67,7.86,0.18,0.43,0.679
EGS27059,CEERS,F115W,1.094,8.07,0.551,-22.32,-22.82,4,16.964,0.736,0.04,0.0,0.0,0.223,3.33,0.01,114.1,0.6,0.68,0.004,115.7,1.0,0.5,0.0,,,,,,,19.2,3.5,-3.8,23.7,227.0,48.0,1.541,0.289,16056.613,1057.992,6.52,3.268,3.51,2.72,-0.27,0.2,0.547
EGS27059,CEERS,F150W,1.094,8.07,0.717,-22.68,-22.82,4,17.353,0.728,0.052,0.0,0.0,0.22,2.871,0.008,212.8,0.8,0.613,0.003,229.4,2.6,0.67,0.01,,,,,,,20.6,7.7,-15.5,33.8,187.3,49.1,1.857,0.223,11208.604,0.0,10.252,5.982,1.99,0.33,0.06,0.26,0.525
EGS27059,CEERS,F200W,1.094,8.07,0.95,-23.0,-22.82,4,18.704,0.763,0.065,0.0,0.0,0.172,2.68,0.005,340.7,1.0,0.588,0.003,385.3,4.0,0.81,0.01,,,,,,,20.8,7.5,-11.9,30.1,184.7,50.3,1.771,0.122,11024.334,0.0,10.141,5.011,1.54,0.45,-0.08,0.06,0.487
EGS27059,CEERS,F277W,1.094,8.07,1.33,-23.34,-22.82,4,20.106,0.67,0.072,0.0,0.0,0.259,2.304,0.009,545.0,4.0,0.718,0.008,354.2,6.9,1.03,0.03,,,,,,,22.7,3.7,7.1,22.9,233.4,86.0,2.261,0.282,17954.808,451.19,6.365,3.032,1.81,1.03,-0.13,0.11,0.341
EGS27059,CEERS,F356W,1.094,8.07,1.702,-23.51,-22.82,4,21.275,0.622,0.09,0.0,0.0,0.288,2.435,0.009,553.7,4.4,0.745,0.008,482.7,9.4,1.03,0.03,,,,,,,26.2,5.2,-14.2,21.8,230.5,73.7,2.71,0.0,11313.768,0.0,7.84,4.695,2.13,1.71,-0.12,0.36,0.308
EGS27059,CEERS,F410M,1.094,8.07,1.954,-23.47,-22.82,4,23.875,0.592,0.112,0.0,0.0,0.297,2.632,0.01,425.4,6.1,0.728,0.018,350.2,13.7,1.45,0.05,,,,,,,25.3,4.7,10.0,35.1,231.9,65.0,2.546,0.228,14272.471,0.0,5.298,2.234,1.57,0.83,-0.21,0.41,0.324
EGS27059,CEERS,F444W,1.094,8.07,2.111,-23.41,-22.82,4,24.023,0.682,0.077,0.0,0.0,0.241,2.48,0.0,507.5,0.0,0.514,0.005,479.8,5.9,1.0,0.0,,,,,,,26.6,6.1,0.8,41.6,238.3,53.9,2.54,0.185,11535.533,490.978,11.524,6.566,1.41,0.88,-0.03,0.4,0.376
EGS27976,CEERS,F115W,1.05,7.91,0.563,-21.59,-21.84,3,15.003,0.6,0.01,0.0,0.0,0.39,2.229,0.007,101.4,0.5,0.188,0.005,88.0,3.2,1.0,0.0,,,,,,,15.9,8.3,-34.6,41.6,146.1,30.8,2.449,0.539,11161.987,0.0,19.143,7.784,2.77,4.73,-0.3,0.18,0.803
EGS27976,CEERS,F150W,1.05,7.91,0.732,-21.79,-21.84,3,14.722,0.641,0.006,0.0,0.0,0.353,2.004,0.005,152.3,0.4,0.024,0.0,3848.4,62.6,1.0,0.0,,,,,,,15.5,10.9,-33.8,36.1,141.5,38.4,2.326,0.37,10749.377,0.0,11.286,5.475,1.81,2.15,-0.3,0.25,0.82
