Galaxy,Filter,D/T,B/T,Bar/T,R/T,S/T,Disc h (kpc),Disc h err,Disc I_0 (μJy/sq.arcsec),Disc I_0 err,Bulge r_e (kpc),Bulge r_e err,Bulge I_e (μJy/sq.arcsec),Bulge I_e err,Bulge n,Bulge n err,Bar r_e (kpc),Bar r_e err,Bar I_e (μJy/sq.arcsec),Bar I_e err,Bar n,Bar n err
g125,F814W,0.607,0.053,0.0,0.0,0.34,1.204,0.006,42.6,0.9,0.193,0.009,63.8,5.8,1.83,0.15,,,,,,
g128,F814W,0.292,0.135,0.167,0.0,0.405,5.279,0.144,21.9,1.8,1.984,0.087,45.6,2.7,1.04,0.07,6.866,0.143,16.3,0.8,0.37,0.03
g130,F814W,0.309,0.061,0.367,0.0,0.263,2.428,0.0,19.7,0.4,0.185,0.011,259.3,30.6,1.4,0.27,2.437,0.034,22.4,0.5,0.91,0.03
g131,F814W,0.469,0.302,0.0,0.0,0.229,2.012,0.091,13.9,2.3,1.633,0.069,9.0,0.4,1.0,0.0,,,,,,
g132,F814W,0.626,0.116,0.075,0.0,0.183,1.715,0.004,37.2,0.2,0.266,0.007,91.4,4.1,2.39,0.08,1.747,0.017,7.5,0.2,0.32,0.01
g134,F814W,0.742,0.021,0.0,0.0,0.237,3.549,0.022,29.0,0.5,0.496,0.03,25.8,2.8,0.61,0.14,,,,,,
g135,F814W,0.635,0.056,0.0,0.0,0.309,4.345,0.05,19.6,0.5,0.636,0.034,49.4,5.3,1.1,0.18,,,,,,
g136,F814W,0.63,0.205,0.0,0.0,0.165,1.962,0.023,94.5,3.7,0.706,0.031,129.9,10.0,1.25,0.11,,,,,,
g137,F814W,0.373,0.436,0.0,0.0,0.191,5.943,0.087,26.1,1.0,2.71,0.1,34.5,2.1,3.15,0.08,,,,,,
g138,F814W,0.289,0.413,0.0,0.0,0.298,5.972,0.0,8.9,0.3,1.61,0.017,71.7,1.0,1.6,0.0,,,,,,
g139,F814W,0.443,0.134,0.0,0.0,0.424,2.902,0.035,31.6,1.4,0.789,0.034,59.3,4.0,1.43,0.08,,,,,,
g141,F814W,0.716,0.043,0.0,0.0,0.241,2.622,0.035,47.8,1.6,0.357,0.04,67.0,16.7,0.99,0.45,,,,,,
g143,F814W,0.27,0.0,0.507,0.0,0.223,4.21,0.067,16.0,0.8,,,,,,,2.659,0.018,60.8,0.6,0.92,0.01
g144,F814W,0.805,0.029,0.0,0.0,0.166,3.144,0.015,83.4,0.9,0.563,0.036,79.1,9.9,0.77,0.18,,,,,,
g145,F814W,0.642,0.039,0.0,0.0,0.319,3.048,0.021,74.5,0.7,0.463,0.015,91.3,5.1,0.95,0.09,,,,,,
g146,F814W,0.408,0.316,0.0,0.0,0.276,2.996,0.132,27.3,4.5,1.014,0.171,74.3,22.1,2.7,0.46,,,,,,
g147,F814W,0.432,0.09,0.393,0.0,0.085,3.093,0.004,27.6,0.1,0.359,0.002,246.2,1.6,1.35,0.01,2.223,0.002,55.2,0.1,0.7,0.0
g148,F814W,0.585,0.263,0.0,0.0,0.152,3.741,0.039,52.7,1.7,1.09,0.022,180.3,6.4,1.33,0.05,,,,,,
g152,F814W,0.369,0.105,0.241,0.0,0.285,4.735,0.0,16.3,0.1,0.291,0.004,744.2,22.1,1.21,0.06,2.799,0.023,42.3,0.5,0.55,0.01
g153,F814W,0.214,0.265,0.172,0.0,0.35,7.124,0.151,2.9,0.2,1.431,0.027,47.3,1.5,1.86,0.04,4.832,0.023,7.2,0.1,0.25,0.0
g154,F814W,0.625,0.119,0.0,0.0,0.255,2.672,0.046,67.0,3.5,0.723,0.073,58.6,9.6,1.5,0.23,,,,,,
g156,F814W,0.27,0.229,0.285,0.0,0.216,5.15,0.034,9.8,0.1,0.375,0.001,638.7,2.7,1.3,0.01,3.317,0.006,31.2,0.1,0.51,0.0
g157,F814W,0.499,0.162,0.0,0.0,0.338,2.805,0.033,36.0,1.1,1.195,0.038,48.3,1.7,0.37,0.04,,,,,,
g160,F814W,0.321,0.369,0.0,0.0,0.31,4.551,0.102,9.6,0.8,3.411,0.101,7.1,0.4,1.94,0.06,,,,,,
g161,F814W,0.71,0.032,0.0,0.0,0.258,2.436,0.012,68.1,1.2,0.662,0.048,36.3,4.5,1.06,0.17,,,,,,
g163,F814W,0.197,0.125,0.482,0.0,0.197,5.665,0.133,11.0,1.0,1.119,0.092,78.1,10.2,2.86,0.17,5.01,0.061,29.0,0.7,1.13,0.02
g164,F814W,0.387,0.272,0.0,0.0,0.341,3.688,0.037,20.0,0.7,1.943,0.119,14.8,1.5,3.7,0.13,,,,,,
g166,F814W,0.459,0.095,0.0,0.0,0.445,4.271,0.069,7.9,0.4,1.325,0.025,17.6,0.5,0.56,0.03,,,,,,
g167,F814W,0.485,0.115,0.0,0.0,0.401,3.644,0.056,28.1,1.1,2.518,0.279,5.5,1.0,3.31,0.29,,,,,,
g168,F814W,0.398,0.213,0.117,0.0,0.271,4.485,0.086,23.1,1.3,0.876,0.038,133.1,10.4,2.02,0.13,2.291,0.048,49.6,2.4,0.25,0.0
g170,F814W,0.412,0.102,0.0,0.0,0.486,5.215,0.068,31.9,1.7,1.043,0.283,38.6,19.0,5.23,0.98,,,,,,
g171,F814W,0.585,0.049,0.0,0.0,0.366,3.816,0.023,69.8,1.0,0.37,0.013,335.6,20.1,0.69,0.1,,,,,,
g172,F814W,0.682,0.006,0.01,0.0,0.302,1.762,0.004,35.0,0.2,0.184,0.007,19.8,1.6,0.32,0.09,0.843,0.033,4.9,0.3,0.37,0.07
g173,F814W,0.647,0.064,0.157,0.0,0.132,2.014,0.019,149.8,5.5,0.506,0.035,147.9,20.7,1.22,0.21,1.825,0.128,39.3,5.3,1.17,0.14
g174,F814W,0.346,0.342,0.0,0.0,0.312,2.714,0.109,39.5,4.6,1.92,0.139,30.6,3.8,2.6,0.19,,,,,,
g175,F814W,0.56,0.087,0.0,0.0,0.354,4.477,0.049,26.1,0.6,0.989,0.03,43.0,2.5,0.84,0.07,,,,,,
g177,F814W,0.314,0.043,0.181,0.0,0.463,3.24,0.117,32.6,2.0,0.293,0.007,347.5,14.7,0.75,0.07,3.397,0.053,24.9,0.6,0.61,0.02
g178,F814W,0.572,0.09,0.0,0.0,0.338,3.916,0.077,14.3,0.8,1.713,0.116,10.4,1.2,1.07,0.13,,,,,,
g179,F814W,0.646,0.066,0.221,0.0,0.068,5.598,0.013,37.5,0.2,0.658,0.022,123.5,6.6,1.62,0.07,3.559,0.026,40.0,0.6,0.85,0.01
g180,F814W,0.289,0.098,0.406,0.0,0.208,4.245,0.055,12.5,0.5,0.712,0.035,98.5,4.4,0.96,0.06,3.498,0.054,22.9,0.9,0.86,0.03
g181,F814W,0.374,0.065,0.0,0.0,0.56,3.144,0.081,30.2,2.5,0.316,0.017,379.7,29.6,1.0,0.0,,,,,,
g182,F814W,0.4,0.177,0.0,0.0,0.424,3.733,0.118,25.5,2.4,2.027,0.054,34.0,1.4,0.56,0.04,,,,,,
EGS10221,F115W,0.34,0.027,0.206,0.0,0.427,1.955,0.072,13.1,0.8,0.329,0.046,13.9,3.9,1.03,0.41,3.166,0.044,11.0,0.2,0.25,0.0
EGS10221,F150W,0.414,0.027,0.186,0.0,0.372,2.156,0.058,13.6,0.6,0.309,0.026,21.7,4.2,0.88,0.29,3.055,0.045,10.8,0.2,0.25,0.0
EGS10221,F200W,0.54,0.037,0.154,0.0,0.269,2.894,0.053,11.4,0.4,0.484,0.061,11.4,2.6,1.31,0.33,2.771,0.045,12.4,0.2,0.25,0.0
EGS13670,F115W,0.466,0.064,0.0,0.0,0.471,2.205,0.014,127.3,1.2,0.374,0.005,318.7,6.0,1.0,0.0,,,,,,
EGS13670,F150W,0.5,0.084,0.0,0.0,0.416,2.104,0.01,204.4,1.5,0.416,0.004,461.0,5.7,1.0,0.0,,,,,,
EGS13670,F200W,0.516,0.106,0.0,0.0,0.378,1.909,0.007,297.8,2.0,0.428,0.003,639.2,6.3,1.0,0.0,,,,,,
EGS13670,F277W,0.435,0.15,0.0,0.0,0.415,1.633,0.025,459.4,14.6,0.622,0.012,575.0,11.4,1.0,0.0,,,,,,
