Galaxy,Filter,μ (deg),μ std,Δμ (deg),Δμ std,l_ψ (deg),l_ψ std,S/T,w (kpc),w std,r_end (kpc),r_end err,h_s (kpc),h_s std,W_i,W_i std,S,S std,A_sp
g131,F814W,19.4,2.8,6.5,1.1,267.7,8.1,0.229,1.494,0.109,9.257,0.0,3.309,0.425,2.98,0.81,0.18,0.17,0.358
g132,F814W,16.4,1.1,-55.5,0.8,114.4,7.2,0.183,1.616,0.0,3.292,0.067,0.822,0.01,0.65,0.01,-0.22,0.11,0.109
g134,F814W,21.0,9.0,11.5,9.9,224.9,31.5,0.237,1.141,0.175,19.766,0.0,16.433,6.741,4.88,2.63,0.07,0.31,0.502
g135,F814W,13.3,3.8,-4.6,6.3,274.9,44.6,0.309,1.921,0.349,13.252,0.0,5.38,1.382,2.76,0.25,0.03,0.47,0.444
g136,F814W,21.5,2.9,-6.5,0.7,169.3,42.2,0.165,0.801,0.05,5.776,0.583,11.928,8.65,4.46,1.0,-0.25,0.11,0.55
g137,F814W,6.6,6.5,-4.3,5.8,274.4,73.7,0.191,2.026,0.483,11.585,0.321,9.093,8.656,0.9,0.96,0.07,0.29,0.638
g138,F814W,14.5,2.2,-13.4,8.4,297.4,25.7,0.298,5.161,0.046,17.514,0.618,37.659,23.297,1.0,0.0,0.0,0.0,0.231
g139,F814W,15.7,4.0,0.2,7.4,329.8,62.3,0.424,1.634,0.245,9.295,0.111,24.953,5.511,1.0,0.0,0.0,0.0,0.245
g141,F814W,10.7,1.1,-4.1,6.7,270.2,39.1,0.241,1.3,0.006,8.574,0.227,6.238,4.7,11.06,9.69,-0.24,0.24,0.62
g143,F814W,18.4,5.4,-21.7,4.3,214.1,26.8,0.223,2.448,0.0,8.103,0.0,2.786,0.611,1.52,0.66,-0.21,0.26,0.276
g144,F814W,18.2,2.5,13.2,3.7,192.2,12.3,0.166,1.65,0.035,15.529,0.0,4.37,0.645,11.37,9.41,0.18,0.29,0.783
g145,F814W,10.8,7.3,7.9,5.1,277.6,62.5,0.319,2.311,0.806,17.392,0.541,11.478,9.789,9.29,8.71,0.03,0.46,0.307
g146,F814W,21.4,0.3,-4.7,5.9,236.3,11.8,0.276,1.127,0.146,5.395,0.0,4.518,0.423,1.5,0.02,0.44,0.07,0.335
g147,F814W,7.4,0.8,0.6,3.3,354.8,6.0,0.085,2.536,0.663,6.541,0.025,7.904,2.2,1.03,0.35,0.25,0.37,0.252
g148,F814W,6.6,1.4,4.6,6.5,401.9,191.4,0.152,1.738,0.182,13.524,0.323,17.922,16.102,1.51,0.14,0.09,0.47,0.503
g152,F814W,13.8,2.1,-11.3,5.3,307.0,24.9,0.285,4.129,0.514,12.592,0.0,15.084,12.03,1.0,0.0,0.0,0.0,0.396
g153,F814W,17.2,0.8,-0.3,4.2,284.7,4.4,0.35,3.096,0.416,20.763,0.177,6.621,0.793,0.79,0.15,-0.29,0.19,0.2
g154,F814W,19.9,4.0,-6.5,0.9,193.5,29.3,0.255,2.154,0.188,11.395,0.222,6.666,4.08,1.65,1.21,-0.08,0.43,0.338
g156,F814W,13.1,1.0,-9.3,2.2,239.9,51.4,0.216,4.804,1.505,13.871,0.086,38.596,29.497,1.26,0.4,-0.21,0.05,0.348
g157,F814W,9.0,5.7,2.5,7.7,291.3,28.8,0.338,1.605,0.236,6.332,0.514,1.892,1.11,4.56,2.99,-0.18,0.16,0.426
g160,F814W,13.6,1.3,1.9,0.1,465.3,62.8,0.31,1.712,0.126,11.875,0.24,6.552,0.946,5.73,0.99,0.05,0.17,0.181
g161,F814W,17.1,2.4,-10.9,6.9,261.7,44.9,0.258,2.106,0.159,7.317,0.0,2.853,1.425,1.26,0.85,-0.49,0.01,0.324
g163,F814W,12.1,3.6,-14.3,0.6,200.0,0.7,0.197,4.598,0.878,15.99,0.307,3.787,0.791,1.28,0.6,-0.37,0.07,0.241
g164,F814W,14.4,2.4,-4.6,4.3,279.6,75.5,0.341,2.52,0.491,11.985,0.496,3.609,4.058,2.38,0.82,-0.19,0.27,0.349
g166,F814W,13.8,2.7,-0.8,5.2,332.6,119.5,0.445,2.776,0.39,17.984,0.728,3.659,0.825,2.78,2.3,-0.38,0.2,0.255
g167,F814W,14.1,1.0,-4.5,11.2,312.0,102.1,0.401,2.183,0.342,12.997,0.0,10.375,9.507,1.97,0.93,0.17,0.14,0.362
g168,F814W,12.5,1.0,-5.4,6.2,255.7,37.7,0.271,2.03,0.115,10.646,0.391,12.78,3.374,0.71,0.42,-0.05,0.37,0.421
g170,F814W,25.2,12.6,-24.4,21.7,223.6,55.8,0.486,3.45,1.024,19.067,0.0,22.972,19.27,1.39,0.95,-0.04,0.28,0.428
g171,F814W,21.3,5.0,-8.1,9.4,193.4,52.2,0.366,2.179,0.917,15.66,0.284,7.06,2.958,3.04,5.06,-0.12,0.2,0.407
g172,F814W,10.8,1.5,-2.1,4.4,281.7,83.7,0.302,1.129,0.337,7.476,0.159,2.335,0.339,5.59,2.21,0.04,0.12,0.619
g173,F814W,8.7,12.8,-0.9,1.8,191.0,42.6,0.132,1.338,0.102,6.705,0.0,1.988,0.09,3.77,4.6,-0.05,0.0,0.59
g174,F814W,16.3,3.7,1.4,0.3,325.5,8.4,0.312,2.449,0.112,15.948,0.0,11.69,4.404,0.69,0.09,-0.08,0.48,0.415
g175,F814W,19.6,6.5,-11.1,19.0,165.3,32.8,0.354,2.635,1.087,16.541,0.409,6.849,3.718,0.88,0.38,-0.21,0.24,0.611
g177,F814W,20.7,3.9,-0.7,9.3,239.8,55.9,0.463,3.444,0.819,22.484,0.287,5.913,2.08,1.96,1.43,-0.07,0.22,0.302
g178,F814W,19.0,1.7,0.0,2.9,322.3,78.9,0.338,1.468,0.42,8.054,0.29,4.567,1.132,5.83,1.84,0.27,0.06,0.408
g179,F814W,18.8,7.3,-9.1,14.2,174.3,14.6,0.068,2.031,0.347,14.069,0.0,45.515,3.221,6.66,0.71,0.06,0.15,0.714
g180,F814W,15.4,1.8,-27.2,10.7,206.0,19.9,0.208,2.267,0.547,7.693,0.118,2.79,0.673,0.48,0.12,-0.4,0.1,0.353
g181,F814W,19.9,3.6,-16.0,1.5,328.4,95.2,0.56,2.036,0.008,8.282,0.378,4.123,3.201,0.43,0.06,-0.02,0.44,0.258
g182,F814W,16.7,4.2,1.1,1.6,195.9,11.9,0.424,2.94,0.07,10.809,0.586,3.119,0.178,3.49,2.27,-0.43,0.06,0.351
EGS10221,F115W,11.1,3.8,-50.3,31.6,95.4,13.1,0.427,1.892,0.096,9.933,0.0,2.096,0.107,0.46,0.13,0.24,0.26,0.563
EGS10221,F150W,18.0,2.4,-21.2,14.1,115.0,13.6,0.372,1.695,0.018,8.783,0.461,2.672,0.105,0.95,0.68,-0.0,0.43,0.554
EGS10221,F200W,16.7,6.6,0.1,12.1,127.7,9.1,0.269,1.593,0.011,10.837,0.0,2.14,0.404,0.92,0.63,0.29,0.01,0.51
